stock1,stock2,stability
MS,JCI,0.08808290155440414
MS,EMR,0.046632124352331605
MS,CMI,0.010362694300518135
MS,COR,0.06735751295336788
MS,HLT,0.006993006993006993
MS,GM,0.12087912087912088
MS,TRV,0.03626943005181347
MS,PCAR,0.025906735751295335
TMUS,TXN,0.10880829015544041
TMUS,SCHW,0.05181347150259067
TMUS,HON,0.13471502590673576
TMUS,ADI,0.10362694300518134
TMUS,BLK,0.09844559585492228
TMUS,PANW,0.09937888198757763
TMUS,SYK,0.08290155440414508
TMUS,VRTX,0.08808290155440414
TMUS,HCA,0.12359550561797752
TMUS,NOW,0.15432098765432098
TMUS,CME,0.09844559585492228
TMUS,DUK,0.05181347150259067
TMUS,BSX,0.12953367875647667
TMUS,WM,0.12953367875647667
TMUS,ICE,0.07253886010362694
TMUS,MRSH,0.07772020725388601
TMUS,BX,0.10880829015544041
TMUS,PNC,0.07772020725388601
TMUS,CTAS,0.12953367875647667
TMUS,ITW,0.09844559585492228
TMUS,RSG,0.11398963730569948
TMUS,AON,0.10362694300518134
TMUS,LHX,0.13471502590673576
TMUS,APD,0.12953367875647667
TMUS,NSC,0.10362694300518134
IBM,CEG,0.0
IBM,HWM,0.14953271028037382
IBM,WMB,0.10362694300518134
GS,APH,0.05699481865284974
GS,WELL,0.05699481865284974
GS,ETN,0.08290155440414508
GS,PH,0.03626943005181347
GS,HWM,0.07476635514018691
GS,JCI,0.04145077720207254
GS,EMR,0.046632124352331605
GS,CMI,0.031088082901554404
GS,CRH,0.05181347150259067
GS,GM,0.11538461538461539
MCD,TXN,0.03626943005181347
MCD,ISRG,0.07772020725388601
MCD,ADI,0.05699481865284974
MCD,BLK,0.031088082901554404
MCD,SYK,0.05699481865284974
MCD,PLD,0.07253886010362694
MCD,PGR,0.09844559585492228
MCD,INTU,0.07253886010362694
MCD,VRTX,0.09844559585492228
MCD,CME,0.08290155440414508
MCD,WM,0.05699481865284974
MCD,ICE,0.08290155440414508
MCD,SNPS,0.06217616580310881
MCD,MSI,0.06217616580310881
MCD,CDNS,0.03626943005181347
MCD,CTAS,0.09326424870466321
MCD,ITW,0.04145077720207254
MCD,CSX,0.04145077720207254
MCD,RSG,0.10880829015544041
MCD,AON,0.07253886010362694
MCD,APD,0.05181347150259067
MCD,NSC,0.05699481865284974
MCD,DLR,0.03626943005181347
MCD,FTNT,0.05699481865284974
WFC,CEG,0.07142857142857142
WFC,EOG,0.031088082901554404
WFC,HOOD,0.14583333333333334
WFC,SPG,0.06735751295336788
LIN,KLAC,0.09326424870466321
LIN,DE,0.05181347150259067
LIN,QCOM,0.18652849740932642
LIN,SO,0.12435233160621761
LIN,SNPS,0.13989637305699482
LIN,MSI,0.16580310880829016
LIN,CDNS,0.17616580310880828
LIN,KKR,0.12365591397849462
LIN,EMR,0.06217616580310881
LIN,FTNT,0.12435233160621761
PEP,NEE,0.11398963730569948
PEP,CRM,0.08808290155440414
PEP,TMO,0.13471502590673576
PEP,TXN,0.10880829015544041
PEP,SCHW,0.04145077720207254
PEP,HON,0.07772020725388601
PEP,BLK,0.05699481865284974
PEP,UNP,0.10880829015544041
PEP,LOW,0.06217616580310881
PEP,DHR,0.10880829015544041
PEP,SYK,0.06735751295336788
PEP,SPGI,0.05699481865284974
PEP,PLD,0.09326424870466321
PEP,VRTX,0.07772020725388601
PEP,HCA,0.06741573033707865
PEP,EQIX,0.046632124352331605
PEP,ICE,0.07772020725388601
PEP,ADP,0.09844559585492228
PEP,MRSH,0.07253886010362694
PEP,SHW,0.10362694300518134
PEP,ITW,0.11398963730569948
PEP,MCO,0.07772020725388601
PEP,CI,0.06735751295336788
PEP,MDLZ,0.05699481865284974
PEP,AON,0.06735751295336788
PEP,APD,0.06735751295336788
PEP,ELV,0.13989637305699482
PEP,SRE,0.15025906735751296
PEP,O,0.10362694300518134
VZ,MDT,0.05181347150259067
VZ,USB,0.03626943005181347
VZ,ECL,0.05181347150259067
VZ,GM,0.03296703296703297
VZ,O,0.10362694300518134
AXP,KLAC,0.046632124352331605
AXP,ANET,0.0364963503649635
AXP,APH,0.05699481865284974
AXP,WELL,0.08290155440414508
AXP,ETN,0.08290155440414508
AXP,SO,0.02072538860103627
AXP,COF,0.06735751295336788
AXP,DUK,0.03626943005181347
AXP,DELL,0.10909090909090909
AXP,TT,0.16580310880829016
AXP,MSI,0.06735751295336788
AXP,KKR,0.08064516129032258
AXP,EMR,0.046632124352331605
AXP,CMI,0.09844559585492228
AXP,COR,0.06217616580310881
AXP,HLT,0.07692307692307693
AXP,CRH,0.08290155440414508
AXP,GM,0.04395604395604396
AXP,APO,0.02247191011235955
AMGN,TJX,0.03626943005181347
AMGN,ANET,0.08759124087591241
AMGN,SCHW,0.06735751295336788
AMGN,HON,0.03626943005181347
AMGN,LMT,0.05699481865284974
AMGN,BLK,0.05181347150259067
